S1,2021.02.02 10:15:59,1.213762
S1,2021.02.02 10:30:59,1.213746
S1,2021.02.02 10:31:59,1.213745
S1,2021.02.02 14:38:59,1.213566
S1,2021.02.02 14:39:59,1.213558
S1,2021.02.02 15:39:59,1.21354
S1,2021.02.02 15:40:59,1.213543
S1,2021.02.02 15:52:59,1.213544
S1,2021.02.02 15:55:59,1.213546
S1,2021.02.03 07:00:59,1.212817
S1,2021.02.03 07:01:58,1.212814
S1,2021.02.03 07:46:58,1.212806
S1,2021.02.03 07:47:59,1.212803
S1,2021.02.03 09:00:58,1.212794
S1,2021.02.03 09:01:58,1.21279
S1,2021.02.03 12:17:58,1.212555
S1,2021.02.03 13:31:59,1.212558
S1,2021.02.04 07:02:58,1.211593
S1,2021.02.04 07:09:58,1.211591
S1,2021.02.04 07:31:58,1.211587
S1,2021.02.04 08:09:58,1.211582
S1,2021.02.04 08:50:58,1.211571
S1,2021.02.04 08:53:58,1.21157
S1,2021.02.04 08:58:58,1.211569
S1,2021.02.04 14:16:58,1.211037
S1,2021.02.04 14:17:58,1.211036
S1,2021.02.04 14:40:57,1.211034
S1,2021.02.04 14:43:57,1.211028
S1,2021.02.04 15:03:57,1.211035
